Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,AgentRating_MinMax,Distance_in_km,Distance_in_km_log,Distance_Log_Z,Delay_Group
vwmc439983136,21,4.7,22.552672,88.352885,22.582672,88.382885,2022-02-15,21:15:00,21:30:00,Windy,Jam ,motorcycle ,Urban ,75,Jewelry,0.74,4.540574388730574,1.712098175661041,-0.6956265159067246,60–120 days
ntzy027061451,25,4.1,18.563934,73.915367,18.643935,73.995367,2022-03-16,20:20:00,20:25:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,180,Toys,0.6199999999999999,12.25607644546856,2.5844560469655513,0.4679351177402181,120–180 days
pbjm971961647,31,4.7,23.357804,85.325146,23.487804,85.455146,2022-03-10,22:30:00,22:45:00,Sandstorms,Low ,van,Metropolitian ,130,Books,0.74,19.61873934880106,3.0262003394163153,1.057139075755294,120–180 days
kjic578711491,37,5.0,11.003669,76.976494,11.013669,76.986494,2022-03-11,08:15:00,08:30:00,Sandstorms,Low ,motorcycle ,Metropolitian ,100,Clothing,0.8,1.5581322655562497,0.9392774084486231,-1.7264243386732896,60–120 days
rkzt648036688,33,4.3,12.986047,80.218114,13.116047,80.348114,2022-03-27,19:30:00,19:45:00,Windy,Jam ,scooter ,Metropolitian ,195,Snacks,0.6599999999999999,20.18063511411397,3.05308732622575,1.093001268698022,180–270 days
segh259958026,25,4.0,19.221315,72.862381,19.261315,72.902381,2022-03-26,12:25:00,12:30:00,Cloudy,High ,motorcycle ,Metropolitian ,170,Jewelry,0.6,6.116971669681921,1.9624823076547109,-0.36166108813318376,120–180 days
owvs520891091,29,4.5,13.005801,80.250744,13.115801,80.360744,2022-03-27,18:35:00,18:50:00,Sunny,Medium ,van,Metropolitian ,75,Outdoors,0.7,17.075594401072465,2.8945626527640074,0.8815591139425831,60–120 days
edrh271340988,27,5.0,26.849596,75.800512,26.879596,75.830512,2022-04-05,20:35:00,20:40:00,Stormy,Jam ,motorcycle ,Urban ,90,Cosmetics,0.8,4.47028648943395,1.699330989730383,-0.7126555451700659,60–120 days
qvfd540651807,35,4.3,21.160522,72.771477,21.250522,72.861477,2022-03-12,23:20:00,23:30:00,Cloudy,Low ,scooter ,Metropolitian ,190,Electronics,0.6599999999999999,13.682044526080338,2.6866252863825566,0.6042097030164932,180–270 days
gzfn634029300,32,4.0,12.934179,77.615797,13.024179,77.705797,2022-03-16,21:20:00,21:35:00,Windy,Jam ,motorcycle ,Metropolitian ,235,Cosmetics,0.6,13.97318265391717,2.706260777966982,0.6303997626433633,180–270 days
xjps180812498,23,4.8,18.51421,73.838429,18.62421,73.948429,2022-04-02,23:35:00,23:45:00,Windy,Low ,van,Urban ,60,Jewelry,0.76,16.85361872985407,2.882206217642519,0.8650779491489287,30–60 days
ahpg083217029,31,4.8,11.022477,76.995667,11.052477,77.025667,2022-04-01,22:35:00,22:50:00,Sandstorms,Low ,motorcycle ,Metropolitian ,130,Jewelry,0.76,4.674172124263596,1.7359246715387395,-0.6638464433247238,120–180 days
itii428784576,36,4.1,21.160437,72.774209,21.210437,72.824209,2022-03-05,22:35:00,22:40:00,Stormy,Low ,motorcycle ,Urban ,110,Cosmetics,0.6199999999999999,7.601616771071131,2.151950182226487,-0.10894651202615427,60–120 days
asis944862845,26,4.3,15.51315,73.78346,15.56315,73.83346,2022-02-11,23:25:00,23:35:00,Sandstorms,Low ,motorcycle ,Urban ,105,Jewelry,0.6599999999999999,7.720324413180035,2.1656564405751952,-0.09066493644804725,60–120 days
xzkg140273315,38,4.9,15.561295,73.749478,15.601295,73.789478,2022-02-11,13:35:00,13:40:00,Cloudy,High ,scooter ,Urban ,125,Shoes,0.78,6.1756362610176,1.9706914352078104,-0.3507116530667964,120–180 days
zotl583816092,32,3.5,0.0,0.0,0.11,0.11,2022-03-08,21:35:00,21:45:00,Stormy,Jam ,scooter ,Urban ,35,Grocery,0.5,17.29786575291325,2.906784427522224,0.897860667091258,30–60 days
agoo012263585,32,4.6,18.563934,73.915367,18.693935,74.045367,2022-04-02,22:35:00,22:45:00,Cloudy,Low ,scooter ,Metropolitian ,150,Sports,0.72,19.91468696554527,3.0404516377989026,1.0761476324188988,120–180 days
ezif478391605,33,4.9,18.55144,73.804855,18.62144,73.874855,2022-03-08,18:55:00,19:10:00,Sunny,Medium ,motorcycle ,Metropolitian ,110,Jewelry,0.78,10.724517748045963,2.4616821832558506,0.3041778317383353,60–120 days
tixw400453550,20,4.7,18.593481,73.785901,18.633481,73.825901,2022-04-03,14:15:00,14:25:00,Windy,High ,scooter ,Urban ,50,Toys,0.74,6.127835452843913,1.964007605284197,-0.3596266274377025,30–60 days
mrfx777445506,20,4.8,21.173343,72.792731,21.183343,72.802731,2022-03-30,11:00:00,11:10:00,Sandstorms,Low ,scooter ,Metropolitian ,95,Kitchen,0.76,1.5203573134015247,0.9244006825042848,-1.7462670982935211,60–120 days
czjt755903822,35,5.0,17.451976,78.385883,17.471976,78.405883,2022-04-01,09:45:00,09:55:00,Sunny,Low ,scooter ,Urban ,55,Clothing,0.8,3.0734537599374083,1.404491229271066,-1.1059164357161708,30–60 days
zqtj827550147,26,4.9,12.972532,77.608179,12.992532,77.628179,2022-03-28,08:40:00,08:55:00,Stormy,Low ,scooter ,Metropolitian ,55,Kitchen,0.78,3.10513147754577,1.4122377710262652,-1.095584003263518,30–60 days
luka250567007,22,4.8,12.972532,77.608179,13.042532,77.678179,2022-03-18,23:00:00,23:10:00,Fog,Low ,motorcycle ,Metropolitian ,140,Books,0.76,10.86742683448041,2.4737974062236074,0.32033726480137387,120–180 days
zkat983341391,35,4.3,13.064181,80.236442,13.134181,80.306442,2022-03-14,17:25:00,17:30:00,Cloudy,Medium ,motorcycle ,Metropolitian ,33,Grocery,0.6599999999999999,10.865464603780305,2.4736320466246995,0.32011670613918536,30–60 days
ydhu273019158,37,4.7,21.149569,72.772697,21.239569,72.862697,2022-04-04,19:45:00,19:50:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,260,Clothing,0.74,13.682516298591963,2.686657418483185,0.6042525612066114,180–270 days
rpuq263118672,28,4.6,19.091458,72.827808,19.201458,72.937808,2022-03-08,19:10:00,19:25:00,Stormy,Jam ,scooter ,Metropolitian ,110,Cosmetics,0.72,16.826241648658563,2.8806716215831294,0.8630310860935388,60–120 days
nvck471535045,37,4.9,22.539129,88.365507,22.559129,88.385507,2022-02-13,10:55:00,11:00:00,Fog,Low ,scooter ,Urban ,16,Grocery,0.78,3.0272369309751475,1.3930805157420343,-1.121136185444643,10–30 days
rxgx102974679,23,4.9,19.221315,72.862381,19.281315,72.922381,2022-03-24,21:40:00,21:45:00,Sunny,Jam ,van,Metropolitian ,55,Apparel,0.78,9.175193844437283,2.3199527821975368,0.11513741741318077,30–60 days
ikas794013321,27,4.9,12.970324,77.645748,13.030324,77.705748,2022-03-19,19:00:00,19:15:00,Windy,Medium ,scooter ,Metropolitian ,125,Snacks,0.78,9.315069177421467,2.333605852988508,0.13334805077410194,120–180 days
dsyl658069912,37,4.8,13.064181,80.236442,13.104181,80.276442,2022-03-09,16:45:00,16:55:00,Cloudy,Medium ,motorcycle ,Urban ,130,Jewelry,0.76,6.209021101535329,1.9753331725280658,-0.34452044686922995,120–180 days
wzoc344425774,33,5.0,21.175975,72.795503,21.185975,72.805503,2022-03-19,11:30:00,11:40:00,Sunny,High ,scooter ,Metropolitian ,90,Shoes,0.8,1.5203447277394997,0.9243956888895373,-1.746273758838149,60–120 days
dwnh519656346,31,4.9,23.369746,85.33982,23.409746,85.37982,2022-04-03,15:10:00,15:15:00,Fog,Medium ,motorcycle ,Metropolitian ,80,Books,0.78,6.037225392444489,1.9512139720926893,-0.37669093238210555,60–120 days
yakw330215137,31,4.8,12.914264,77.6784,13.024264,77.7884,2022-03-25,22:45:00,22:55:00,Stormy,Low ,scooter ,Metropolitian ,115,Cosmetics,0.76,17.078665498349924,2.894732541307896,0.8817857133671628,60–120 days
dcdm719150402,25,5.0,0.0,0.0,0.03,0.03,2022-02-13,22:10:00,22:25:00,Cloudy,Low ,motorcycle ,Metropolitian ,75,Home,0.8,4.717601092054723,1.743549327922411,-0.6536765830762976,60–120 days
fris321432357,28,4.8,11.003681,76.975525,11.083681,77.055525,2022-04-04,20:45:00,20:55:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,180,Kitchen,0.76,12.464329297636855,2.600043914227334,0.48872640637623316,120–180 days
mxuw713526914,31,4.7,21.173343,72.792731,21.233343,72.852731,2022-03-26,22:50:00,23:05:00,Cloudy,Low ,motorcycle ,Metropolitian ,80,Clothing,0.74,9.12142598198074,2.3146545612431666,0.10807058528857273,60–120 days
carl449634661,24,4.7,10.96185,76.971082,11.05185,77.061082,2022-03-10,17:55:00,18:00:00,Sunny,Medium ,motorcycle ,Urban ,95,Snacks,0.74,14.02323208308413,2.709597808478841,0.6348507348895379,60–120 days
msnw786727644,39,4.6,27.165108,78.015053,27.255108,78.105053,2022-02-14,22:45:00,23:00:00,Sunny,Low ,motorcycle ,Metropolitian ,135,Jewelry,0.72,13.392612276663753,2.666715038590987,0.577653170188938,120–180 days
bbow373480117,39,4.2,0.0,0.0,0.08,0.08,2022-03-02,20:35:00,20:50:00,Fog,Jam ,scooter ,Semi-Urban ,245,Apparel,0.64,12.58026782240096,2.6086178437623633,0.500162418802686,180–270 days
vizd072469706,32,4.5,26.88842,75.800689,26.89842,75.810689,2022-03-26,09:25:00,09:40:00,Windy,Low ,scooter ,Other,100,Shoes,0.7,1.4899271643867567,0.9122534587984915,-1.7624692143336411,60–120 days
etss702593505,36,4.7,0.0,0.0,0.06,0.06,2022-03-13,20:15:00,20:20:00,Cloudy,Jam ,motorcycle ,Metropolitian ,150,Sports,0.74,9.435201537430713,2.345184853944069,0.1487922643371717,120–180 days
rxxx129114996,25,4.8,26.913987,75.752891,26.993987,75.832891,2022-03-29,22:25:00,22:35:00,Sandstorms,Low ,scooter ,Urban ,90,Cosmetics,0.76,11.916582838287255,2.5585119771711353,0.4333305990828705,60–120 days
bull762076829,33,4.9,12.3085,76.665808,12.3385,76.695808,2022-03-30,21:55:00,22:00:00,Sunny,Jam ,scooter ,Metropolitian ,110,Books,0.78,4.663566689152346,1.734053850843536,-0.6663417669252508,60–120 days
fpkv432118410,30,4.4,21.183434,72.814492,21.253434,72.884492,2022-03-12,22:40:00,22:55:00,Cloudy,Low ,scooter ,Metropolitian ,170,Shoes,0.68,10.641157729337486,2.4545468986406354,0.2946607015598678,120–180 days
udpq945815554,33,5.0,19.254567,72.848923,19.364567,72.958923,2022-03-31,23:50:00,23:55:00,Sandstorms,Low ,motorcycle ,Urban ,120,Jewelry,0.8,16.818368923733058,2.880229887198767,0.8624418953510533,60–120 days
qeqp930384577,36,4.9,18.55144,73.804855,18.59144,73.844855,2022-03-17,15:25:00,15:40:00,Fog,Medium ,scooter ,Metropolitian ,85,Pet Supplies,0.78,6.128551257918874,1.9641080241476978,-0.35949268752530256,60–120 days
cwvq091479872,21,4.8,25.449659,81.839744,25.469659,81.859744,2022-02-15,10:20:00,10:30:00,Sandstorms,Low ,van,Metropolitian ,70,Shoes,0.76,2.996250036666747,1.3853564305672026,-1.131438665034832,60–120 days
ivtf765857546,39,4.9,30.372202,78.077151,30.422202,78.127151,2022-02-15,20:55:00,21:00:00,Stormy,Jam ,motorcycle ,Metropolitian ,150,Skincare,0.78,7.342175722857832,2.121324060388404,-0.14979600915386582,120–180 days
emlt327861941,23,4.8,0.0,0.0,0.02,0.02,2022-03-07,10:40:00,10:50:00,Stormy,Low ,scooter ,Metropolitian ,15,Grocery,0.76,3.145067434621583,1.4219190573624199,-1.082670984747098,10–30 days
rufz727804632,35,4.8,0.0,0.0,0.04,0.04,2022-03-28,15:55:00,16:05:00,Fog,Medium ,scooter ,Urban ,80,Apparel,0.76,6.290134677634678,1.9865220201482288,-0.3295966246125737,60–120 days
gkrb550339468,39,4.6,12.972793,80.249982,13.062793,80.339982,2022-03-16,20:10:00,20:15:00,Cloudy,Jam ,scooter ,Metropolitian ,180,Home,0.72,13.972123977178395,2.706190070610249,0.6303054523032872,120–180 days
tsec016509855,22,4.7,21.157735,72.768778,21.197735,72.808778,2022-03-17,12:10:00,12:15:00,Sunny,High ,scooter ,Urban ,90,Sports,0.74,6.0814407970077005,1.957477389404041,-0.3683367095124126,60–120 days
xczs106918282,32,4.6,21.186438,72.794115,21.226438,72.834115,2022-03-15,15:30:00,15:45:00,Fog,Medium ,scooter ,Metropolitian ,85,Outdoors,0.72,6.080891507841841,1.9573998189651738,-0.368440173915658,60–120 days
lgee738117860,24,4.8,0.0,0.0,0.08,0.08,2022-03-25,22:10:00,22:15:00,Sandstorms,Low ,motorcycle ,Urban ,75,Apparel,0.76,12.58026782240096,2.6086178437623633,0.500162418802686,60–120 days
nxfs257449148,29,4.7,0.0,0.0,0.02,0.02,2022-03-09,10:35:00,10:45:00,Fog,Low ,motorcycle ,Metropolitian ,85,Books,0.74,3.145067434621583,1.4219190573624199,-1.082670984747098,60–120 days
wycd588946822,26,4.7,17.431477,78.40035,17.491477,78.46035,2022-03-05,23:50:00,00:05:00,Fog,Low ,motorcycle ,Metropolitian ,50,Shoes,0.74,9.220373067021596,2.324383087731783,0.12104661330004064,30–60 days
bhdi726355812,20,4.5,0.0,0.0,0.05,0.05,2022-02-11,21:10:00,21:25:00,Fog,Jam ,motorcycle ,Metropolitian ,135,Sports,0.7,7.8626681674103684,2.181847866844411,-0.06906861340150922,120–180 days
wnbv620439671,35,4.1,13.064181,80.236442,13.154181,80.326442,2022-03-12,20:25:00,20:40:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,185,Pet Supplies,0.6199999999999999,13.969606427684226,2.706021907350073,0.630081154083295,180–270 days
jvco758418006,39,4.6,12.933298,77.614293,13.023298,77.704293,2022-03-29,20:50:00,21:00:00,Fog,Jam ,scooter ,Metropolitian ,220,Electronics,0.72,13.97320677313832,2.7062623887936366,0.6304019111837222,180–270 days
zkks967394571,34,4.7,22.311358,73.164798,22.351358,73.204798,2022-03-19,12:35:00,12:45:00,Windy,High ,van,Metropolitian ,140,Snacks,0.74,6.058853851668898,1.9542826943696976,-0.3725978329520459,120–180 days
oiyh656906407,27,4.7,12.934365,77.616155,13.044365,77.726155,2022-03-10,21:00:00,21:15:00,Cloudy,Jam ,scooter ,Metropolitian ,210,Apparel,0.74,17.07799287216156,2.894695335093674,0.8817360872620676,180–270 days
dfit633531471,30,4.8,0.0,0.0,0.11,0.11,2022-02-16,23:40:00,23:55:00,Windy,Low ,motorcycle ,Metropolitian ,125,Sports,0.76,17.29786575291325,2.906784427522224,0.897860667091258,120–180 days
qhxw976953297,25,4.4,13.086438,80.220672,13.196438,80.330672,2022-03-27,18:15:00,18:20:00,Cloudy,Medium ,scooter ,Metropolitian ,195,Jewelry,0.68,17.07287190639919,2.8944120242612508,0.88135820379721,180–270 days
mryb985330207,25,4.7,19.254567,72.848923,19.364567,72.958923,2022-03-27,18:20:00,18:25:00,Stormy,Medium ,motorcycle ,Urban ,100,Electronics,0.74,16.818368923733058,2.880229887198767,0.8624418953510533,60–120 days
jzam829230168,30,5.0,26.913483,75.803139,26.933483,75.823139,2022-03-24,11:45:00,11:50:00,Stormy,High ,motorcycle ,Metropolitian ,155,Kitchen,0.8,2.9795028505763823,1.3811568995787216,-1.1370400510006637,120–180 days
xnod694467359,24,4.6,17.411028,78.329645,17.471028,78.389645,2022-03-09,20:45:00,20:55:00,Stormy,Jam ,motorcycle ,Metropolitian ,65,Home,0.72,9.22086597503729,2.324431314555487,0.12111093882929973,60–120 days
hcno407153953,39,4.8,18.516216,73.842527,18.566216,73.892527,2022-03-03,21:55:00,22:10:00,Stormy,Jam ,motorcycle ,Metropolitian ,140,Home,0.76,7.66133113422064,2.158868421411107,-0.0997188797064286,120–180 days
gyjc869072111,25,4.8,15.5696,73.742294,15.6096,73.782294,2022-02-15,12:45:00,12:50:00,Windy,High ,scooter ,Urban ,95,Snacks,0.76,6.175516093406556,1.970674688453532,-0.3507339900931562,60–120 days
wkqq813752515,37,4.6,19.876428,75.364792,19.956428,75.444792,2022-02-18,23:30:00,23:45:00,Fog,Low ,motorcycle ,Urban ,210,Kitchen,0.72,12.209856560906877,2.5809632601033567,0.46327639576264446,180–270 days
vdfj488526028,24,5.0,12.939496,77.625999,12.949496,77.635999,2022-03-01,10:50:00,10:55:00,Fog,Low ,motorcycle ,Metropolitian ,115,Electronics,0.8,1.5526813140975844,0.9371443024604693,-1.7292695016161157,60–120 days
pngq326709686,25,4.2,17.433809,78.386744,17.543809,78.496744,2022-03-23,21:25:00,21:40:00,Stormy,Jam ,motorcycle ,Metropolitian ,195,Cosmetics,0.64,16.902806732498597,2.88495750125301,0.8687476449902258,180–270 days
caja224507886,32,4.6,23.374878,85.335739,23.384878,85.345739,2022-04-01,10:10:00,10:20:00,Stormy,Low ,motorcycle ,Metropolitian ,125,Outdoors,0.72,1.5093577696342253,0.9200268517320958,-1.7521009674497345,120–180 days
hnme204254454,34,4.7,-27.163303,78.057044,27.233303,78.127044,2022-02-16,23:00:00,23:05:00,Sandstorms,Low ,scooter ,Metropolitian ,75,Clothing,0.74,6048.631240095335,8.707752597116878,8.635263196690664,60–120 days
uehx759760979,38,4.9,22.74806,75.8934,22.76806,75.9134,2022-03-11,08:40:00,08:55:00,Cloudy,Low ,scooter ,Urban ,75,Books,0.78,3.0251186390180176,1.3925543859685585,-1.1218379437927626,60–120 days
sdod930462581,36,4.8,26.891191,75.802083,26.981191,75.892083,2022-03-14,17:50:00,17:55:00,Sunny,Medium ,van,Metropolitian ,75,Home,0.76,13.407092693002163,2.667720633445094,0.5789944449452281,60–120 days
visy471360404,25,5.0,21.160437,72.774209,21.270437,72.884209,2022-03-18,20:25:00,20:40:00,Stormy,Jam ,motorcycle ,Metropolitian ,75,Electronics,0.8,16.721976048741656,2.8748054541255885,0.8552067199536015,60–120 days
wddq796276216,29,5.0,12.316967,76.603067,12.366967,76.653067,2022-04-01,22:20:00,22:25:00,Sunny,Low ,motorcycle ,Metropolitian ,90,Outdoors,0.8,7.772343594464188,2.1716039992441005,-0.08273200971162212,60–120 days
pqya338067587,36,4.7,18.927584,72.832585,19.017584,72.922585,2022-04-04,23:40:00,23:50:00,Sandstorms,Low ,van,Metropolitian ,145,Clothing,0.74,13.773737657079213,2.6928511218810125,0.612513798802971,120–180 days
last796029882,33,4.7,11.022298,76.998349,11.072298,77.048349,2022-03-11,23:25:00,23:30:00,Fog,Low ,motorcycle ,Metropolitian ,100,Snacks,0.74,7.790158927085036,2.17363279197562,-0.08002598107054613,60–120 days
mzyt873581742,36,4.4,12.325461,76.632278,12.365461,76.672278,2022-03-13,12:40:00,12:55:00,Cloudy,High ,scooter ,Metropolitian ,195,Skincare,0.68,6.217834398579603,1.976554963117229,-0.34289080758853513,180–270 days
kbhb286226770,21,4.8,18.530963,73.828972,18.640963,73.938972,2022-03-04,23:30:00,23:45:00,Windy,Low ,motorcycle ,Metropolitian ,95,Sports,0.76,16.852834881459735,2.882162312504082,0.865019387936511,60–120 days
okvp821614347,25,4.8,17.458998,78.500366,17.488998,78.530366,2022-03-26,23:55:00,00:10:00,Cloudy,Low ,scooter ,Urban ,19,Grocery,0.76,4.610035602261126,1.7245570657285723,-0.6790086954487901,10–30 days
oska955853002,23,4.8,19.1813,72.836191,19.3113,72.966191,2022-03-16,22:50:00,23:00:00,Windy,Low ,motorcycle ,Metropolitian ,85,Electronics,0.76,19.87987067737402,3.038785569382902,1.0739254099209343,60–120 days
rgwl479077727,25,4.6,11.022477,76.995667,11.032477,77.005667,2022-03-01,10:25:00,10:40:00,Stormy,Low ,motorcycle ,Urban ,75,Books,0.72,1.5580833985943423,0.9392583056722286,-1.7264498181908592,60–120 days
tmzv371880726,24,4.3,22.727021,75.884167,22.747021,75.904167,2022-03-15,08:45:00,09:00:00,Sandstorms,Low ,motorcycle ,Urban ,95,Apparel,0.6599999999999999,3.0253327061731827,1.392607567373187,-1.1217670097826682,60–120 days
ofxt601212694,27,4.6,12.979166,77.640709,13.069166,77.730709,2022-03-04,21:25:00,21:40:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,145,Apparel,0.72,13.971948960174704,2.706178381017851,0.630289860581501,120–180 days
lbui872023073,23,4.8,18.994237,72.825553,19.104237,72.935553,2022-03-18,22:35:00,22:40:00,Cloudy,Low ,scooter ,Urban ,110,Jewelry,0.76,16.830905551931515,2.880933218691463,0.8633800075267514,60–120 days
ixfk439251990,21,4.3,12.284747,76.625861,12.414747,76.755861,2022-03-23,20:10:00,20:20:00,Fog,Jam ,scooter ,Metropolitian ,210,Books,0.6599999999999999,20.20779793335838,3.05436894109139,1.0947107023327987,180–270 days
njfz936670348,27,4.7,21.175975,72.795503,21.195975,72.815503,2022-03-15,10:55:00,11:10:00,Sandstorms,Low ,scooter ,Urban ,60,Sports,0.74,3.040641621538215,1.3964034965753698,-1.11670395283209,30–60 days
drir663128253,32,4.2,11.000762,76.981876,11.130762,77.111876,2022-03-08,20:35:00,20:45:00,Cloudy,Jam ,motorcycle ,Metropolitian ,190,Skincare,0.64,20.253785359470154,3.0565350140696497,1.0975998370515736,180–270 days
drdr957134932,25,4.6,21.173343,72.792731,21.283343,72.902731,2022-03-10,23:20:00,23:35:00,Sunny,Low ,motorcycle ,Metropolitian ,115,Outdoors,0.72,16.721296009802852,2.874767080753189,0.8551555370786065,60–120 days
qrzj427928057,39,4.7,26.479108,80.315042,26.499108,80.335042,2022-02-11,10:35:00,10:50:00,Cloudy,Low ,scooter ,Metropolitian ,75,Books,0.74,2.984550789786577,1.3824245806150772,-1.1353492024783716,60–120 days
hkit681446136,27,4.6,21.175104,72.804342,21.255104,72.884342,2022-03-14,23:45:00,23:50:00,Sunny,Low ,motorcycle ,Metropolitian ,120,Shoes,0.72,12.161450531436996,2.577292142576661,0.45837981415642326,60–120 days
imnm972342448,39,3.8,19.176269,72.836721,19.286269,72.946721,2022-03-16,19:55:00,20:00:00,Windy,Jam ,motorcycle ,Metropolitian ,185,Books,0.5599999999999999,16.822155609316784,2.8804423804573585,0.8627253214669157,180–270 days
wnne890905509,31,4.8,12.975377,77.696664,13.025377,77.746664,2022-03-01,22:15:00,22:25:00,Sandstorms,Low ,scooter ,Metropolitian ,120,Sports,0.76,7.762556904358387,2.170487746417612,-0.08422088142938343,60–120 days
kbdc711046313,31,4.8,23.359194,85.325447,23.419194,85.385447,2022-03-01,23:10:00,23:15:00,Sunny,Low ,van,Metropolitian ,65,Kitchen,0.76,9.055855161965688,2.3081550680384053,0.09940148149530918,60–120 days
alem833315854,20,4.8,12.297954,76.665169,12.307954,76.675169,2022-03-30,09:15:00,09:30:00,Cloudy,Low ,motorcycle ,Other,80,Sports,0.76,1.5545816630915406,0.9378884776048253,-1.728276911676632,60–120 days
khjm619520065,36,4.9,23.359407,85.325055,23.439407,85.405055,2022-03-02,18:25:00,18:35:00,Cloudy,Medium ,motorcycle ,Urban ,210,Cosmetics,0.78,12.074047498027545,2.5706291581981304,0.44949264382934895,180–270 days
